TIME,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
United Kingdom,"68,160.000",,"65,033.000",,"52,992.000",,"41,760.205",,"20,770.552",,"17,032.389",,"14,355.220",,"10,545.169",,:,,:,
Montenegro,"1,732.000",,"1,672.000",,"1,630.000",,"1,720.000",,"1,361.000",,"1,382.800",,"1,572.700",,"1,493.900",,"1,593.600",,:,
North Macedonia,"7,664.000",,"6,973.000",,"6,719.000",,"6,056.000",,"5,444.720",,"5,406.862",,"4,911.079",,"5,984.298",,"5,211.269",,"4,376.932",p
Albania,122.000,,105.000,,133.000,,201.000,,87.000,,219.238,,427.730,,216.406,,264.880,,400.626,p
Serbia,"39,408.000",,"41,119.000",,"31,423.000",,"39,392.000",,"40,300.000",,"41,550.718",,"40,034.955",,"40,091.768",,"41,782.795",,"38,638.201",p
Türkiye,"103,600.000",,"89,123.000",,"101,681.000",,"97,567.000",,"111,610.000",,"116,950.570",,"127,170.563",,"130,194.286",,"118,148.233",,:,
Bosnia and Herzegovina,:,,:,,"13,384.000",,"13,441.000",,"15,465.000",,"15,790.000",,"16,039.744",,"14,664.787",,"15,396.311",,"14,800.716",p
Kosovo (under United Nations Security Council Resolution 1244/99),"8,071.000",,"8,308.000",,"7,246.000",,"8,336.000",,"9,054.000",,"7,604.771",,"7,693.491",,"8,073.312",,"8,273.595",,"8,333.462",p
Moldova,192.000,,250.000,,160.000,,171.000,,125.000,,176.000,,137.000,,163.000,,130.000,,156.000,p
Ukraine,"91,025.000",,"88,619.000",,"75,697.000",,"63,896.000",,"64,809.000",,"54,733.000",,"59,879.000",,"55,715.200",,"49,110.700",,"45,476.900",p
Georgia,:,,624.000,,558.000,,533.000,,508.000,,548.000,,522.687,,381.480,,366.050,,405.531,p
